Timestamp,EX1_FAN_IN_RH_ITL_ETL,EX1_FAN_IN_TEMP_ITL_ETL,EX1_FAN_OUT_RH_ITL_ETL,EX1_FAN_OUT_TEMP_ITL_ETL,FA1_FAN_IN_RH_ITL_ETL,FA1_FAN_IN_TEMP_ITL_ETL,FA1_FAN_OUT_RH_ITL_ETL,FA1_FAN_OUT_TEMP_ITL_ETL,class
21-03-2018 04:49:00,48.13,26.18,44.61,32.79,38.72,32.46,44.05,32.37,5
21-03-2018 04:48:00,48.12,26.43,44.51,33.38,38.64,32.5,43.98,32.54,5
21-03-2018 04:47:00,48.15,27.17,44.74,32.78,38.85,32.35,44.24,32.36,5
21-03-2018 04:46:00,0,28.03,44.91,33.21,39.1,32.48,44.38,32.53,5
21-03-2018 04:45:00,49.06,28.78,44.88,32.64,38.98,32.52,44.45,32.52,5
21-03-2018 04:44:00,49.07,28.62,44.98,32.89,39.08,32.53,44.45,32.54,5
21-03-2018 04:43:00,49.14,28.69,44.71,32.81,38.71,32.46,44.24,32.52,5
21-03-2018 04:42:00,49.37,28.62,45.05,32.71,39.01,32.51,44.54,32.54,5
21-03-2018 04:41:00,49.49,28.66,44.89,32.53,38.98,32.52,44.58,32.39,5
21-03-2018 04:40:00,49.92,28.52,45.13,32.5,39.3,32.39,44.83,32.22,5
21-03-2018 04:39:00,50.4,28.24,45.54,32.54,39.74,32.2,45.13,32.34,5
21-03-2018 04:38:00,50.47,28.04,45.51,32.61,39.74,32.25,45.06,32.09,5
21-03-2018 04:37:00,50.74,28.11,45.59,32.7,39.81,32.34,45.1,32.37,5
21-03-2018 04:36:00,50.79,28.1,45.49,32.77,39.61,32.21,44.96,32.38,5
21-03-2018 04:35:00,50.95,28.06,45.35,32.98,39.5,32.28,44.99,32.35,5
21-03-2018 04:34:00,51.41,27.67,45.28,32.58,39.13,32.28,44.99,32.34,5
21-03-2018 04:33:00,51.71,27.3,45.46,33.01,39.74,32.23,45.23,32.33,5
