Timestamp,EX1_FAN_IN_RH_ITL,EX1_FAN_OUT_RH_ITL,FA1_FAN_IN_RH_ITL,FA1_FAN_OUT_RH_ITL,class
19-03-2018 18:29:00,47.06,46.15,39.6,44.04,2
19-03-2018 18:30:00,47.13,46.18,39.7,44.18,2
19-03-2018 18:31:00,47.2,46.22,39.91,44.32,2
19-03-2018 18:32:00,47.2,46.22,40.07,44.45,2
19-03-2018 18:33:00,47.89,46.42,40.17,44.55,2
19-03-2018 18:34:00,48.74,46.89,40.31,44.66,2
19-03-2018 18:35:00,49.44,47.26,40.41,44.76,2
19-03-2018 18:36:00,50.23,47.82,40.52,44.94,2
19-03-2018 18:37:00,50.95,48.37,40.45,45.01,2
19-03-2018 18:38:00,51.6,48.87,40.48,45.09,2
19-03-2018 18:39:00,52.31,49.48,40.59,45.26,2
19-03-2018 18:40:00,53.1,50.14,40.66,45.47,2
19-03-2018 18:41:00,55.32,51.7,40.66,45.6,2
19-03-2018 18:42:00,57.76,53.49,40.66,46.02,2
19-03-2018 18:43:00,59.8,55.14,40.83,46.31,2
19-03-2018 18:44:00,61.11,56.16,40.88,46.57,2
19-03-2018 18:45:00,61.4,56.67,40.97,46.73,2
19-03-2018 18:46:00,57.3,54.84,41.08,46.63,2
19-03-2018 18:47:00,54.97,53.25,41.14,46.55,2
19-03-2018 18:48:00,53.76,52.24,41.28,46.49,2
19-03-2018 18:49:00,52.76,51.43,41.25,46.35,2
19-03-2018 18:50:00,52.07,50.83,41.25,46.28,2
19-03-2018 18:51:00,51.58,50.38,41.32,46.21,2
19-03-2018 18:52:00,51.16,49.94,41.25,46.1,2
19-03-2018 18:53:00,50.76,49.56,41.11,45.96,2
19-03-2018 18:54:00,50.49,49.31,41.25,45.93,2
19-03-2018 18:55:00,50.28,49.11,41.32,45.93,2
19-03-2018 18:56:00,50.05,48.94,41.42,45.96,2
20-03-2018 09:40:00,56.58,48.78,41.55,52.31,1
20-03-2018 09:41:00,56.49,48.54,41.47,52.26,1
20-03-2018 09:42:00,56.46,48.51,41.87,52.17,1
20-03-2018 09:43:00,56.34,48.78,42.32,52.4,1
20-03-2018 09:44:00,56.26,48.54,42.18,52.32,1
20-03-2018 09:45:00,56.13,48.44,42.24,52.29,1
20-03-2018 09:46:00,56.02,48.2,41.85,52.2,1
20-03-2018 09:47:00,55.9,47.63,41.1,51.82,1
20-03-2018 09:48:00,55.72,47.49,40.88,51.75,1
20-03-2018 09:49:00,55.72,47.16,40.9,51.35,1
20-03-2018 09:50:00,55.7,47.04,40.59,51.32,1
20-03-2018 09:51:00,56.52,47.44,41.04,51.71,1
20-03-2018 09:52:00,57.93,47.92,41.11,52.53,1
20-03-2018 09:53:00,59.8,48.65,41.35,53.3,1
20-03-2018 09:54:00,61.15,48.89,40.92,54.06,1
20-03-2018 09:55:00,62.25,49.43,41.7,54.62,1
20-03-2018 09:56:00,62.25,49.35,41.09,54.62,1
20-03-2018 09:57:00,60.39,48.95,41.36,54.01,1
20-03-2018 09:58:00,58.55,48.25,41.29,53.06,1
20-03-2018 09:59:00,57.59,47.77,40.84,52.47,1
20-03-2018 10:00:00,57.41,47.7,40.97,52.44,1
20-03-2018 10:01:00,58.61,48.01,41.08,52.85,1
20-03-2018 10:02:00,60.12,48.47,41.18,53.47,1
20-03-2018 10:03:00,61.31,48.95,41.49,54.15,1
20-03-2018 10:04:00,61.78,49.09,41.36,54.39,1
20-03-2018 10:05:00,61.75,49.11,41.26,54.42,1
20-03-2018 10:06:00,61.21,49.21,41.56,54.36,1
20-03-2018 10:07:00,49.89,46.46,40.85,47.64,4
20-03-2018 10:08:00,49.58,46.49,40.95,47.47,4
20-03-2018 10:09:00,49.34,46.56,41.05,47.47,4
20-03-2018 10:10:00,49.17,46.7,41.16,47.37,4
20-03-2018 10:11:00,49.05,46.63,41.01,47.46,4
20-03-2018 10:12:00,48.76,46.72,41.16,47.25,4
20-03-2018 10:13:00,48.58,46.66,41.25,47.12,4
20-03-2018 10:14:00,48.47,46.72,41.31,47.12,4
20-03-2018 10:15:00,48.34,46.99,41.52,47.12,4
20-03-2018 10:16:00,48.24,46.99,41.45,47.27,4
20-03-2018 10:17:00,48.16,46.82,41.35,47.31,4
20-03-2018 10:18:00,47.96,46.41,40.94,46.83,4
20-03-2018 10:19:00,47.72,46.62,41.11,46.67,4
20-03-2018 10:20:00,47.67,46.68,41.18,46.7,4
20-03-2018 10:21:00,47.67,46.86,41.42,46.93,4
20-03-2018 10:22:00,47.57,46.68,41.11,46.86,4
20-03-2018 10:23:00,47.54,46.72,41.21,46.76,4
20-03-2018 10:24:00,47.5,46.86,41.36,46.83,4
20-03-2018 10:25:00,47.44,46.96,41.5,46.89,4
20-03-2018 10:26:00,47.47,47.22,41.57,47.16,4
20-03-2018 10:27:00,47.37,46.71,41.12,46.89,4
20-03-2018 10:28:00,47.29,46.91,41.39,46.89,4
20-03-2018 10:29:00,47.29,46.93,41.22,46.99,4
20-03-2018 10:30:00,47.18,46.76,41.14,46.85,4
20-03-2018 10:31:00,47.09,46.76,41.21,46.78,4
20-03-2018 10:32:00,47.09,46.48,40.81,46.89,4
20-03-2018 10:33:00,46.99,46.45,40.72,46.71,4
